Ubigeo;Departamento;Provincia;Distrito;Indicador;Unidad de medida;Anio 2012;Anio 2013;Anio 2014;Anio 2015;Anio 2016;Anio 2017;Anio 2018;Anio 2019;Anio 2020;Anio 2021;Anio 2022;Anio 2023
030709;APURIMAC;GRAU;SAN ANTONIO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;134;111;87;84;82;94;93;102;92;104;90;82
030710;APURIMAC;GRAU;SANTA ROSA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;229;185;176;157;156;143;121;127;120;110;131;98
030711;APURIMAC;GRAU;TURPAY;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;191;195;180;176;161;144;142;135;132;100;132;115
030712;APURIMAC;GRAU;VILCABAMBA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;611;509;436;450;480;483;516;576;599;828;609;618
030713;APURIMAC;GRAU;VIRUNDO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;346;300;250;237;205;175;171;160;177;87;169;151
040102;AREQUIPA;AREQUIPA;ALTO SELVA ALEGRE;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;12335;13292;13088;13439;13638;13480;13871;14192;14870;15295;14936;14876
040101;AREQUIPA;AREQUIPA;AREQUIPA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;72314;70861;69747;68806;69170;69386;69382;67591;60436;59759;63904;64941
040103;AREQUIPA;AREQUIPA;CAYMA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;20719;20937;21206;21808;22489;22737;23701;24372;23609;24392;24684;25304
040104;AREQUIPA;AREQUIPA;CERRO COLORADO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;32694;34529;35303;36146;38331;41718;43920;46558;46155;47229;48533;50550
040105;AREQUIPA;AREQUIPA;CHARACATO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;416;610;727;833;1083;1153;1244;1335;1431;1544;1607;1831
040106;AREQUIPA;AREQUIPA;CHIGUATA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;337;366;276;370;392;492;466;477;590;647;614;561
040107;AREQUIPA;AREQUIPA;JACOBO HUNTER;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;8804;10112;10691;10175;10663;10935;11055;11470;11530;12022;12134;11997
040129;AREQUIPA;AREQUIPA;JOSE LUIS BUSTAMANTE Y RIVERO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;16446;18547;18686;18909;20189;20663;21404;22192;21088;20970;21904;22512
040108;AREQUIPA;AREQUIPA;LA JOYA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;8195;8201;8432;8465;8939;9419;9794;10198;10398;10513;11131;11556
040109;AREQUIPA;AREQUIPA;MARIANO MELGAR;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;12670;13525;13778;14456;14755;15056;15308;15472;15139;15460;14999;14463
040110;AREQUIPA;AREQUIPA;MIRAFLORES;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;9073;11063;11231;10877;11305;11169;11067;11392;10554;11370;11155;10890
040111;AREQUIPA;AREQUIPA;MOLLEBAYA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;193;226;244;248;344;400;429;442;508;518;497;489
040112;AREQUIPA;AREQUIPA;PAUCARPATA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;22196;24267;23651;23588;25077;26233;26024;26713;27533;28010;27419;27050
040113;AREQUIPA;AREQUIPA;POCSI;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;42;38;28;23;31;24;34;34;39;47;38;36
040114;AREQUIPA;AREQUIPA;POLOBAYA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;185;171;165;181;171;175;150;136;164;182;180;173
040115;AREQUIPA;AREQUIPA;QUEQUEÑA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;67;59;55;74;91;112;115;143;168;185;186;144
040116;AREQUIPA;AREQUIPA;SABANDIA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;741;864;778;835;757;789;864;808;857;898;880;798
040117;AREQUIPA;AREQUIPA;SACHACA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;5054;5221;5186;5383;5891;5873;6274;6564;6834;6612;6717;7038
040118;AREQUIPA;AREQUIPA;SAN JUAN DE SIGUAS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;228;204;215;197;190;171;196;231;254;265;254;251
040119;AREQUIPA;AREQUIPA;SAN JUAN DE TARUCANI;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;166;195;185;181;175;164;172;176;169;208;193;181
040120;AREQUIPA;AREQUIPA;SANTA ISABEL DE SIGUAS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;135;120;128;126;122;124;118;122;141;147;125;110
040121;AREQUIPA;AREQUIPA;SANTA RITA DE SIGUAS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1422;1474;1455;1495;1526;1576;1644;1660;1711;1802;1886;1916
040122;AREQUIPA;AREQUIPA;SOCABAYA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;11848;13099;13053;13159;14464;15022;15577;16600;16878;17128;17276;17124
040123;AREQUIPA;AREQUIPA;TIABAYA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;3846;3923;3811;3944;4290;4270;4390;4596;4851;5191;5273;5065
040124;AREQUIPA;AREQUIPA;UCHUMAYO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1959;2196;2220;2299;2305;2337;2432;2586;2738;2822;2826;2872
040125;AREQUIPA;AREQUIPA;VITOR;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;683;633;647;634;671;705;816;750;736;746;741;708
040126;AREQUIPA;AREQUIPA;YANAHUARA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;7437;7275;7060;7149;6261;6421;6253;6333;5690;6495;7237;7964
040127;AREQUIPA;AREQUIPA;YARABAMBA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;296;321;350;375;345;355;399;468;569;651;773;809
040128;AREQUIPA;AREQUIPA;YURA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;4807;5199;5753;6313;6797;6951;7791;8448;8175;8743;9625;10219
040201;AREQUIPA;CAMANA;CAMANA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;6489;6441;6165;6201;5999;6063;6112;6346;6535;6297;6405;6283
040202;AREQUIPA;CAMANA;JOSE MARIA QUIMPER;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;586;543;503;507;542;561;556;554;558;571;584;553
040203;AREQUIPA;CAMANA;MARIANO NICOLAS VALCARCEL;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1006;1169;1421;1768;2008;2375;2664;2705;2761;2948;3716;3680
040204;AREQUIPA;CAMANA;MARISCAL CACERES;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;726;746;768;804;900;932;933;1038;1130;1226;1267;1247
040205;AREQUIPA;CAMANA;NICOLAS DE PIEROLA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1104;1176;1060;1378;1416;1373;1385;1444;1365;1372;1361;1353
040206;AREQUIPA;CAMANA;OCOÑA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;924;909;935;949;963;912;921;895;949;971;962;967
040207;AREQUIPA;CAMANA;QUILCA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;120;124;152;175;182;211;203;194;195;209;212;264
040208;AREQUIPA;CAMANA;SAMUEL PASTOR;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;4300;4680;4780;4924;5183;5000;5149;5131;5089;5229;5320;5412
040302;AREQUIPA;CARAVELI;ACARI;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1530;1669;1629;1569;1558;1519;1499;1502;1545;1595;1550;1569
040303;AREQUIPA;CARAVELI;ATICO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1143;1188;1200;1216;1313;1302;1359;1376;1395;1495;1593;1570
040304;AREQUIPA;CARAVELI;ATIQUIPA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;76;79;79;76;68;77;81;89;113;108;112;120
040305;AREQUIPA;CARAVELI;BELLA UNION;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;484;504;508;531;552;601;620;671;708;752;869;876
040306;AREQUIPA;CARAVELI;CAHUACHO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;175;158;155;123;135;131;134;135;132;123;107;108
040301;AREQUIPA;CARAVELI;CARAVELI;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1027;1059;1094;1129;1162;1167;1187;1213;1281;1280;1453;1389
040307;AREQUIPA;CARAVELI;CHALA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;2286;2266;2361;2330;2530;2639;2709;2903;2891;2944;3260;3297
040308;AREQUIPA;CARAVELI;CHAPARRA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;792;852;829;815;869;800;828;937;975;1003;1076;1057
040309;AREQUIPA;CARAVELI;HUANUHUANU;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;566;567;531;538;560;548;567;589;640;686;806;834
040310;AREQUIPA;CARAVELI;JAQUI;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;385;386;376;392;397;380;391;399;420;448;462;454
040311;AREQUIPA;CARAVELI;LOMAS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;304;298;317;360;367;315;315;281;316;347;379;409
040312;AREQUIPA;CARAVELI;QUICACHA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;564;600;534;505;501;502;496;503;542;552;592;587
040313;AREQUIPA;CARAVELI;YAUCA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;497;488;498;482;501;477;491;508;539;558;590;579
040402;AREQUIPA;CASTILLA;ANDAGUA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;281;260;238;230;219;244;203;210;231;239;237;237
040401;AREQUIPA;CASTILLA;APLAO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;2946;2880;2870;2945;2872;2866;2815;2868;3025;3067;2981;2897
040403;AREQUIPA;CASTILLA;AYO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;29;30;24;25;24;21;23;18;22;27;26;25
040404;AREQUIPA;CASTILLA;CHACHAS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;452;456;418;397;412;456;426;401;458;500;494;460
040405;AREQUIPA;CASTILLA;CHILCAYMARCA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;459;481;449;429;442;433;415;327;301;296;289;235
040406;AREQUIPA;CASTILLA;CHOCO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;68;68;64;58;64;75;80;99;131;141;126;111
040407;AREQUIPA;CASTILLA;HUANCARQUI;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;179;169;165;159;174;168;176;178;209;236;220;209
040408;AREQUIPA;CASTILLA;MACHAGUAY;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;161;145;133;127;127;127;110;111;121;127;115;100
040409;AREQUIPA;CASTILLA;ORCOPAMPA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;3038;2953;2970;2735;2681;2812;2677;2185;2034;2036;1963;1938
040410;AREQUIPA;CASTILLA;PAMPACOLCA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;743;656;611;576;545;527;526;510;515;520;515;495
040411;AREQUIPA;CASTILLA;TIPAN;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;129;111;107;93;84;88;95;100;103;102;98;93
040412;AREQUIPA;CASTILLA;UÑON;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;14;15;15;10;11;8;13;10;6;8;17;15
040413;AREQUIPA;CASTILLA;URACA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1868;1804;1938;1868;1844;1850;1851;1860;1885;1895;1887;1863
040414;AREQUIPA;CASTILLA;VIRACO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;323;293;273;284;278;299;290;287;287;290;304;288
040502;AREQUIPA;CAYLLOMA;ACHOMA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;335;220;212;210;186;197;198;189;192;204;207;173
040503;AREQUIPA;CAYLLOMA;CABANACONDE;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;574;519;503;495;474;468;467;470;517;521;500;452
040504;AREQUIPA;CAYLLOMA;CALLALLI;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;320;347;365;360;332;364;363;366;440;402;394;333
040505;AREQUIPA;CAYLLOMA;CAYLLOMA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1062;1066;1027;1007;972;963;945;943;969;987;953;894
040501;AREQUIPA;CAYLLOMA;CHIVAY;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;2519;2346;2469;2327;2485;2429;2289;2471;2371;2374;2206;2264
040506;AREQUIPA;CAYLLOMA;COPORAQUE;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;160;156;158;150;242;305;315;375;379;401;442;429
040507;AREQUIPA;CAYLLOMA;HUAMBO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;229;177;166;146;155;161;141;145;158;155;125;125
040508;AREQUIPA;CAYLLOMA;HUANCA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;295;342;276;257;276;301;211;253;363;496;581;366
040509;AREQUIPA;CAYLLOMA;ICHUPAMPA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;149;126;122;106;113;114;111;96;111;109;103;75
040510;AREQUIPA;CAYLLOMA;LARI;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;261;237;234;240;236;232;214;211;204;209;205;199
040511;AREQUIPA;CAYLLOMA;LLUTA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;186;150;155;167;166;157;145;141;225;209;167;159
040512;AREQUIPA;CAYLLOMA;MACA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;148;141;117;97;87;100;108;103;98;108;97;86
040513;AREQUIPA;CAYLLOMA;MADRIGAL;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;142;126;109;103;101;104;101;97;109;115;86;84
040520;AREQUIPA;CAYLLOMA;MAJES;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;14583;15626;16060;16374;17240;17864;18925;19812;19707;19595;21630;22970
040514;AREQUIPA;CAYLLOMA;SAN ANTONIO DE CHUCA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;247;238;237;236;257;234;238;215;228;235;227;202
040515;AREQUIPA;CAYLLOMA;SIBAYO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;204;187;174;169;155;164;158;151;178;181;164;143
040516;AREQUIPA;CAYLLOMA;TAPAY;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;73;61;57;68;53;71;103;98;100;109;116;104
040517;AREQUIPA;CAYLLOMA;TISCO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;383;353;339;316;323;347;325;312;325;330;291;251
040518;AREQUIPA;CAYLLOMA;TUTI;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;202;193;174;168;149;141;153;138;137;137;119;111
040519;AREQUIPA;CAYLLOMA;YANQUE;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;593;591;539;503;491;518;530;515;589;626;591;573
040602;AREQUIPA;CONDESUYOS;ANDARAY;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;128;109;99;81;78;74;67;75;81;90;74;68
040603;AREQUIPA;CONDESUYOS;CAYARANI;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1088;1015;995;963;959;954;1002;972;994;932;918;823
040604;AREQUIPA;CONDESUYOS;CHICHAS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;124;108;104;111;98;93;96;89;98;100;99;96
040601;AREQUIPA;CONDESUYOS;CHUQUIBAMBA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1313;1187;1184;1110;1144;1169;1199;1193;1237;1254;1194;1186
040605;AREQUIPA;CONDESUYOS;IRAY;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;83;88;87;80;71;67;58;72;73;75;68;69
040606;AREQUIPA;CONDESUYOS;RIO GRANDE;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;955;936;844;794;776;828;1041;1069;1174;1164;1355;1497
040607;AREQUIPA;CONDESUYOS;SALAMANCA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;188;177;174;127;118;118;108;112;109;127;123;88
040608;AREQUIPA;CONDESUYOS;YANAQUIHUA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1052;1024;918;944;1015;998;1070;1073;1165;1222;1351;1408
040702;AREQUIPA;ISLAY;COCACHACRA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;2080;1992;1968;1912;1906;1956;1983;1962;1976;2010;2056;2036
040703;AREQUIPA;ISLAY;DEAN VALDIVIA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1426;1406;1409;1426;1402;1407;1280;1337;1343;1404;1441;1480
040704;AREQUIPA;ISLAY;ISLAY;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;944;1029;1039;1025;1094;1102;1112;1180;1214;1252;1337;1325
040705;AREQUIPA;ISLAY;MEJIA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;294;280;263;269;300;355;375;371;386;388;373;355
040701;AREQUIPA;ISLAY;MOLLENDO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;6640;6830;6785;6815;7077;7349;7347;7457;7482;7522;7872;7604
040706;AREQUIPA;ISLAY;PUNTA DE BOMBON;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1390;1387;1414;1427;1365;1413;1401;1438;1492;1520;1510;1502
040802;AREQUIPA;LA UNION;ALCA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;660;649;623;563;533;567;574;564;581;610;543;518
040803;AREQUIPA;LA UNION;CHARCANA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;149;151;147;161;148;145;153;170;178;190;190;167
040801;AREQUIPA;LA UNION;COTAHUASI;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1033;1096;1072;1038;1060;1059;1100;1125;1249;1261;1180;1230
040804;AREQUIPA;LA UNION;HUAYNACOTAS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;605;601;584;536;517;538;523;481;513;512;506;483
040805;AREQUIPA;LA UNION;PAMPAMARCA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;401;369;383;381;363;361;357;347;373;379;354;322
040806;AREQUIPA;LA UNION;PUYCA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;773;783;762;787;802;811;805;796;816;802;771;673
040807;AREQUIPA;LA UNION;QUECHUALLA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;11;8;8;7;4;2;1;10;11;11;11;8
040808;AREQUIPA;LA UNION;SAYLA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;109;94;98;88;87;105;93;101;104;108;97;70
040809;AREQUIPA;LA UNION;TAURIA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;90;84;77;77;90;88;93;99;102;112;105;81
040810;AREQUIPA;LA UNION;TOMEPAMPA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;358;355;350;335;298;291;290;278;277;283;275;276
040811;AREQUIPA;LA UNION;TORO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;156;144;126;107;91;78;71;64;61;66;74;64
050201;AYACUCHO;CANGALLO;CANGALLO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;2041;2009;2001;1807;1905;2053;1849;1800;1859;1901;1796;1773
050202;AYACUCHO;CANGALLO;CHUSCHI;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;2896;2668;2576;2419;2320;2248;2070;1929;1937;2072;1939;1829
050203;AYACUCHO;CANGALLO;LOS MOROCHUCOS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;2563;2495;2498;2482;2543;2465;2506;2540;2567;2603;2569;2513
050204;AYACUCHO;CANGALLO;MARIA PARADO DE BELLIDO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1017;918;904;821;807;768;707;727;765;805;772;708
050205;AYACUCHO;CANGALLO;PARAS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1879;1853;1724;1679;1618;1585;1488;1423;1431;1463;1441;1301
050206;AYACUCHO;CANGALLO;TOTOS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1285;1202;1141;1052;997;887;850;826;846;853;782;749
050102;AYACUCHO;HUAMANGA;ACOCRO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1846;1881;1647;2075;2175;2165;2170;2212;2326;2456;2346;2294
050103;AYACUCHO;HUAMANGA;ACOS VINCHOS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1596;1528;1468;1443;1441;1378;1294;1260;1296;1333;1332;1310
050116;AYACUCHO;HUAMANGA;ANDRES AVELINO CACERES DORREGARAY;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;;;;115;362;558;5514;5849;5893;5964;6303;6117
050101;AYACUCHO;HUAMANGA;AYACUCHO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;47358;51724;49946;50681;51825;53185;47681;48338;47906;44865;47249;47862
050104;AYACUCHO;HUAMANGA;CARMEN ALTO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;5907;5998;6565;5948;6314;7103;6926;6992;6883;9682;12481;15035
050105;AYACUCHO;HUAMANGA;CHIARA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1400;1430;1410;1485;1472;1452;1449;1422;1456;1473;1466;1407
050115;AYACUCHO;HUAMANGA;JESUS NAZARENO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;3144;3036;3157;3410;3550;3505;3755;3852;3816;3657;3897;3969
050106;AYACUCHO;HUAMANGA;OCROS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;2107;2111;1860;1885;1783;1721;1629;1573;1611;1665;1590;1553
050107;AYACUCHO;HUAMANGA;PACAYCASA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;710;673;676;696;703;688;665;646;689;711;770;746
050108;AYACUCHO;HUAMANGA;QUINUA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1781;1468;1384;1315;1305;1261;1267;1236;1162;1252;1169;1201
050109;AYACUCHO;HUAMANGA;SAN JOSE DE TICLLAS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;555;640;581;564;568;528;548;505;562;566;569;526
050110;AYACUCHO;HUAMANGA;SAN JUAN BAUTISTA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;9904;10825;10255;10853;11006;11432;11626;11953;13443;11820;12464;13131
050111;AYACUCHO;HUAMANGA;SANTIAGO DE PISCHA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;337;313;302;291;303;289;279;276;238;249;228;228
050112;AYACUCHO;HUAMANGA;SOCOS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1664;1714;1596;1548;1462;1361;1314;1262;1282;1331;1261;1211
050113;AYACUCHO;HUAMANGA;TAMBILLO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1172;1362;1303;1319;1348;1349;1357;1420;1519;1572;1643;1580
050114;AYACUCHO;HUAMANGA;VINCHOS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;4650;4642;4394;4177;4102;3973;3728;3621;3718;3873;3722;3487
050302;AYACUCHO;HUANCA SANCOS;CARAPO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;869;733;662;587;562;516;512;476;497;526;484;442
050303;AYACUCHO;HUANCA SANCOS;SACSAMARCA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;505;451;455;368;352;326;318;311;328;365;309;264
050301;AYACUCHO;HUANCA SANCOS;SANCOS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1132;1137;1113;1093;1112;1051;1040;1027;1061;1099;1136;1070
050304;AYACUCHO;HUANCA SANCOS;SANTIAGO DE LUCANAMARCA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;789;822;764;735;734;703;677;637;650;667;635;583
050402;AYACUCHO;HUANTA;AYAHUANCO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1775;1806;1783;571;496;449;420;404;426;425;452;436
050409;AYACUCHO;HUANTA;CANAYRE;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;;;;1083;1044;1052;1242;1590;1710;1895;1768;1625
050412;AYACUCHO;HUANTA;CHACA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;;;;0;715;722;713;697;698;661;661;657
050403;AYACUCHO;HUANTA;HUAMANGUILLA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1308;1392;1315;1283;1215;1144;1072;1011;1015;994;904;942
050401;AYACUCHO;HUANTA;HUANTA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;16671;17645;17147;15695;18501;16259;16355;17035;15737;16051;16577;17683
050404;AYACUCHO;HUANTA;IGUAIN;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;647;622;609;557;570;519;520;494;487;496;483;468
050408;AYACUCHO;HUANTA;LLOCHEGUA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;3522;3552;2893;2774;3033;3032;3373;3813;4146;4300;4291;3668
050405;AYACUCHO;HUANTA;LURICOCHA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1471;1534;1653;1574;1505;1550;1438;1380;1383;1445;1483;1417
050411;AYACUCHO;HUANTA;PUCACOLPA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;;;;1151;1178;1125;1039;1102;1090;1061;1231;1055
050413;AYACUCHO;HUANTA;PUTIS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;;;;;;;;;;;;48
050406;AYACUCHO;HUANTA;SANTILLANA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;2542;2439;2340;2179;1441;1342;1210;1109;1087;1069;1167;1061
050407;AYACUCHO;HUANTA;SIVIA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;2992;3016;3103;3128;3408;3214;3181;3454;3706;3917;3613;3593
050410;AYACUCHO;HUANTA;UCHURACCAY;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;;;;1229;1253;1140;1157;1154;1211;1243;1296;1221
050510;AYACUCHO;LA MAR;ANCHIHUAY;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;;;;1514;1465;1454;1409;1369;1422;1529;1468;1504
050502;AYACUCHO;LA MAR;ANCO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;4414;4646;4541;2996;2953;2797;2844;2874;2917;2059;1964;2065
050503;AYACUCHO;LA MAR;AYNA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;3313;3850;3939;3892;3897;3714;3691;3687;3549;3640;3480;3500
050504;AYACUCHO;LA MAR;CHILCAS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;518;523;471;477;458;416;384;368;374;404;380;376
050505;AYACUCHO;LA MAR;CHUNGUI;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1976;2378;2227;2261;2216;1873;1740;1718;1728;1736;1659;1621
050506;AYACUCHO;LA MAR;LUIS CARRANZA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;411;426;407;414;380;339;339;337;322;333;366;374
050514;AYACUCHO;LA MAR;NINABAMBA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;;;;;;;;;;;;465
050511;AYACUCHO;LA MAR;ORONCCOY;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;;;;0;0;312;355;331;355;383;415;399
